nm0024876|JosÃ© Amigo|\N|\N|actor|tt0000165
nm0063086|Blanche Bayliss|1878|1951|actress|tt0000009
nm0083196|Santiago Biosca|\N|\N|cinematographer|tt0000165
nm0085156|Alexander Black|1859|1940|director,writer,cinematographer|tt0000009
nm0166380|FranÃ§ois Clerc|\N|\N|actor|tt0000014
nm0183947|Peter Courtney|1867|1896|actor|tt0000007
nm0244989|BenoÃ®t Duval|1881|\N|actor|tt0000014
nm0443482|Charles Kayser|1878|1966|actor|tt0000005
nm0556371|Antonio Masia|\N|\N|actor|tt0000165
nm0563758|Juan MaÃ±e|\N|\N|actor|tt0000165
nm0609678|Alfred Moul|1852|1924|director|tt0000121
nm0653042|John Ott|1850|1931|actor|tt0000005
nm0780534|Julie Seale|\N|\N|actress|tt0000121
nm1024447|Ferdinand GÃ½ra|1861|1933|actor|tt0000174,tt0000190
nm2256592|John L. Sullivan|1858|1918||tt0000147
nm2350007|Antoine FÃ©raud|\N|\N|actor|tt0000026
nm2350838|AndrÃ©e LumiÃ¨re|1894|1918||tt0000029
nm2354154|Alphonse Winckler|1839|1925||tt0000026
nm2960633|Scoops Carey|\N|\N||tt0000038
nm3029234|Georgette MÃ©liÃ¨s|1888|1930|actress|tt0000132
nm3691272|Ploetz|\N|\N||tt0000017
nm3692071|Delaware|\N|\N|actor|tt0000018
nm3692297|Grunato|\N|\N||tt0000011
nm3692479|Ancion|\N|\N|actress|tt0000032
nm3692829|Larella|\N|\N||tt0000017
